movieTitle,movieRating,year,Type
Gladiator,8.5,2000,Winner
Gladiator,8.5,2000.1,Best Rating
A Beautiful Mind,8.2,2001,Winner
The Lord of the Rings: The Fellowship of the Ring,8.8,2001.1,Best Rating
Chicago,7.2,2002,Winner
The Lord of the Rings: The Two Towers,8.7,2002.1,Best Rating
The Lord of the Rings: The Return of the King,8.9,2003,Winner
The Lord of the Rings: The Return of the King,8.9,2003.1,Best Rating
Million Dollar Baby,8.1,2004,Winner
Million Dollar Baby,8.1,2004.1,Best Rating
Crash,7.9,2005,Winner
Crash,7.9,2005.1,Best Rating
The Departed,8.5,2006,Winner
The Departed,8.5,2006.1,Best Rating
No Country for Old Men,8.1,2007,Winner
No Country for Old Men,8.1,2007.1,Best Rating
Slumdog Millionaire,8,2008,Winner
Slumdog Millionaire,8,2008.1,Best Rating
The Hurt Locker,7.6,2009,Winner
Inglourious Basterds,8.3,2009.1,Best Rating
The King's Speech,8.1,2010,Winner
Inception,8.8,2010.1,Best Rating
The Artist,8,2011,Winner
The Help,8.1,2011.1,Best Rating
Argo,7.8,2012,Winner
Django Unchained,8.5,2012.1,Best Rating
12 Years a Slave,8.1,2013,Winner
The Wolf of Wall Street,8.2,2013.1,Best Rating
Birdman: Or (The Unexpected Virtue of Ignorance),7.9,2014,Winner
Whiplash,8.6,2014.1,Best Rating
